State,Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Intl Mins,Intl Calls,CustServ Calls,Churn?
RI,Middle_Length,415,no,yes,Middle(13->23),0->100,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
IN,Short,510,no,no,None,200->300,50->100,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
AZ,Middle_Length,408,no,no,None,100->200,50->100,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
NM,Long,510,no,yes,Middle(13->23),100->200,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
OR,Short,415,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,200->300,50->100,0->100,10->15,0->5,True.
NJ,Middle_Length,415,no,no,None,200->300,50->100,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
MS,Short,408,no,no,None,200->300,50->100,200->300,50->100,100->200,100->150,0->100,5->10,0->5,False.
MI,Middle_Length,510,no,yes,Large(23->51),100->200,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
TX,Middle_Length,415,yes,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
FL,Middle_Length,408,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
DC,Middle_Length,510,no,no,None,100->200,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
TX,Long,415,no,no,None,0->100,100->150,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
KS,Middle_Length,408,yes,no,None,0->100,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,True.
UT,Short,510,no,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
MN,Short,510,no,yes,Middle(13->23),100->200,100->150,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
IL,Long,408,no,no,None,100->200,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
NM,Long,415,no,no,None,100->200,100->150,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
SC,Short,510,no,no,None,100->200,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
NC,Long,408,no,no,None,200->300,50->100,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
WV,Long,510,no,yes,Middle(13->23),200->300,50->100,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
RI,Long,510,no,yes,Middle(13->23),200->300,50->100,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
NH,Long,408,no,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
MO,Short,510,no,yes,Large(23->51),0->100,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
MA,Long,408,yes,no,None,100->200,100->150,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
PA,Middle_Length,415,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
OK,Long,415,no,no,None,100->200,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
AL,Short,415,no,yes,Middle(13->23),200->300,50->100,200->300,100->150,200->300,100->150,0->100,10->15,0->5,False.
WY,Long,415,no,no,None,100->200,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
PA,Middle_Length,408,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
WA,Middle_Length,415,no,no,None,200->300,100->150,200->300,100->150,100->200,100->150,0->100,5->10,0->5,False.
HI,Long,510,yes,no,None,200->300,50->100,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
SD,Long,408,no,yes,Large(23->51),100->200,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,True.
AL,Long,415,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
VT,Long,510,yes,no,None,200->300,100->150,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
MT,Long,415,no,no,None,100->200,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
MN,Short,415,no,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
AK,Short,415,no,yes,Middle(13->23),200->300,100->150,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
MI,Middle_Length,415,no,yes,Middle(13->23),200->300,50->100,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
DE,Short,415,no,no,None,100->200,100->150,100->200,100->150,200->300,50->100,0->100,5->10,0->5,False.
SD,Long,408,no,yes,Middle(13->23),100->200,50->100,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
MI,Long,510,no,no,None,200->300,100->150,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
KS,Long,408,no,no,None,200->300,50->100,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
AL,Long,510,no,no,None,200->300,50->100,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
OK,Middle_Length,510,no,no,None,300->400,50->100,200->300,100->150,300->400,50->100,0->100,0->5,0->5,True.
CT,Long,415,no,yes,Middle(13->23),200->300,100->150,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
NE,Long,510,no,no,None,0->100,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
WI,Middle_Length,510,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
CT,Middle_Length,415,no,yes,Middle(13->23),100->200,50->100,100->200,100->150,200->300,50->100,0->100,5->10,5->10,True.
WI,Middle_Length,510,no,yes,Middle(13->23),100->200,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
IN,Long,510,no,no,None,200->300,100->150,100->200,150->200,200->300,100->150,0->100,5->10,0->5,False.
DC,Short,415,no,no,None,0->100,50->100,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
AR,Short,415,no,no,None,100->200,100->150,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
ME,Middle_Length,415,no,no,None,200->300,100->150,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
MN,Middle_Length,415,no,no,None,100->200,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
MD,Short,415,no,no,None,100->200,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
FL,Long,415,no,no,None,200->300,100->150,200->300,150->200,200->300,100->150,0->100,0->5,0->5,True.
RI,Long,408,no,no,None,100->200,100->150,300->400,50->100,200->300,50->100,0->100,0->5,0->5,True.
IA,Long,415,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
AZ,Long,510,no,no,None,0->100,100->150,200->300,50->100,200->300,50->100,0->100,10->15,0->5,False.
MO,Long,415,no,no,None,200->300,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
VT,Middle_Length,415,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,10->15,0->5,True.
IN,Long,408,no,no,None,200->300,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,True.
RI,Middle_Length,510,no,no,None,100->200,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
SD,Long,415,no,no,None,200->300,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
MN,Short,415,no,no,None,200->300,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,True.
TX,Middle_Length,415,no,yes,Middle(13->23),200->300,100->150,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
VA,Short,510,no,no,None,200->300,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
MA,Short,408,no,no,None,0->100,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
ID,Long,408,no,no,None,100->200,50->100,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
MA,Short,408,no,no,None,0->100,150->200,300->400,100->150,100->200,0->50,0->100,0->5,0->5,False.
GA,Middle_Length,415,no,yes,Middle(13->23),100->200,100->150,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
RI,Long,415,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
ID,Long,510,no,yes,Middle(13->23),200->300,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
SD,Long,510,yes,yes,Middle(13->23),200->300,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,True.
MA,Middle_Length,510,no,no,None,100->200,50->100,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
WY,Long,415,no,yes,Middle(13->23),100->200,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
VA,Middle_Length,408,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
OR,Long,415,no,no,None,0->100,100->150,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
VA,Long,408,no,no,None,200->300,50->100,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
ME,Middle_Length,510,no,yes,Middle(13->23),0->100,100->150,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
AL,Long,408,no,yes,Middle(13->23),0->100,50->100,200->300,50->100,100->200,0->50,0->100,0->5,0->5,False.
GA,Long,408,no,yes,Middle(13->23),200->300,100->150,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
IA,Short,510,no,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
AZ,Long,510,no,no,None,200->300,50->100,200->300,50->100,0->100,100->150,0->100,10->15,0->5,False.
FL,Long,510,no,no,None,100->200,50->100,300->400,100->150,100->200,50->100,0->100,0->5,0->5,False.
MT,Short,415,no,no,None,200->300,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,True.
AL,Middle_Length,415,no,no,None,100->200,100->150,100->200,50->100,100->200,150->200,0->100,5->10,5->10,True.
DE,Middle_Length,510,no,no,None,100->200,50->100,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
MT,Short,510,no,no,None,200->300,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
KY,Long,408,no,yes,Middle(13->23),200->300,50->100,100->200,50->100,100->200,0->50,0->100,0->5,0->5,False.
SC,Middle_Length,510,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
WA,Short,415,no,no,None,100->200,100->150,100->200,100->150,300->400,100->150,0->100,5->10,0->5,False.
OR,Short,510,no,no,None,200->300,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
AK,Short,408,no,no,None,200->300,50->100,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
GA,Middle_Length,415,no,no,None,200->300,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,True.
MN,Middle_Length,415,no,no,None,100->200,100->150,200->300,100->150,200->300,100->150,0->100,10->15,0->5,False.
IL,Short,415,no,yes,Middle(13->23),200->300,100->150,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
IN,Middle_Length,408,no,yes,Middle(13->23),0->100,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
SC,Short,510,no,yes,Middle(13->23),100->200,50->100,0->100,100->150,100->200,50->100,0->100,0->5,0->5,False.
VA,Long,415,no,no,None,200->300,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
WI,Short,415,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
VT,Long,510,no,no,None,200->300,100->150,100->200,100->150,100->200,50->100,0->100,10->15,0->5,False.
AZ,Middle_Length,415,no,yes,Large(23->51),100->200,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
FL,Middle_Length,510,no,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,True.
AK,Short,510,no,no,None,100->200,100->150,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
AR,Long,415,yes,yes,Middle(13->23),200->300,50->100,200->300,50->100,200->300,50->100,0->100,0->5,0->5,False.
AR,Short,408,no,no,None,100->200,100->150,100->200,100->150,0->100,50->100,0->100,0->5,0->5,False.
AK,Long,415,no,no,None,100->200,50->100,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
MS,Short,408,yes,no,None,200->300,50->100,200->300,50->100,100->200,50->100,0->100,0->5,0->5,True.
ME,Short,415,no,no,None,100->200,100->150,0->100,50->100,200->300,50->100,0->100,0->5,0->5,False.
CA,Long,408,yes,no,None,200->300,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
NM,Long,408,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
NE,Short,408,yes,yes,Middle(13->23),100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
SC,Middle_Length,408,no,yes,Middle(13->23),100->200,100->150,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
CO,Long,408,yes,no,None,200->300,50->100,300->400,100->150,100->200,50->100,0->100,5->10,0->5,True.
DE,Long,415,no,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
OH,Short,415,no,yes,Middle(13->23),100->200,100->150,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
MS,Short,408,no,no,None,200->300,50->100,100->200,100->150,300->400,100->150,0->100,0->5,0->5,False.
OK,Long,408,no,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
CO,Long,415,no,no,None,300->400,50->100,200->300,50->100,200->300,100->150,0->100,5->10,0->5,True.
NC,Middle_Length,415,no,no,None,100->200,50->100,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
MD,Short,415,no,no,None,0->100,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
KS,Long,415,no,no,None,0->100,100->150,200->300,100->150,100->200,100->150,0->100,5->10,0->5,False.
MA,Long,415,no,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
NC,Long,415,no,no,None,200->300,50->100,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
NM,Short,408,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
CA,Long,415,yes,no,None,200->300,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,True.
NY,Short,415,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
AZ,Middle_Length,415,no,no,None,100->200,50->100,200->300,50->100,200->300,50->100,0->100,5->10,0->5,False.
SD,Middle_Length,415,no,yes,Middle(13->23),200->300,100->150,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
DC,Long,415,no,no,None,100->200,50->100,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
ND,Short,408,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,15->20,0->5,False.
MO,Middle_Length,415,yes,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,True.
KS,Long,415,no,no,None,200->300,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
SD,Long,510,no,no,None,200->300,100->150,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
OK,Middle_Length,415,no,no,None,100->200,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
OR,Long,415,yes,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
IN,Long,415,yes,yes,Middle(13->23),100->200,50->100,300->400,50->100,200->300,100->150,0->100,5->10,0->5,False.
OH,Middle_Length,408,no,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
KS,Long,415,no,no,None,200->300,100->150,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
CT,Middle_Length,415,no,no,None,100->200,50->100,200->300,50->100,300->400,50->100,0->100,0->5,0->5,False.
NH,Short,510,no,no,None,200->300,100->150,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
WI,Middle_Length,415,no,no,None,100->200,50->100,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
MS,Long,510,no,no,None,100->200,50->100,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
WV,Short,415,no,no,None,100->200,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
MA,Short,415,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
MD,Middle_Length,415,no,no,None,200->300,50->100,100->200,150->200,200->300,100->150,0->100,5->10,5->10,False.
PA,Middle_Length,510,no,no,None,200->300,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
WI,Short,510,no,no,None,200->300,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,True.
TN,Middle_Length,415,no,yes,Middle(13->23),200->300,50->100,0->100,100->150,100->200,0->50,0->100,5->10,0->5,False.
TX,Middle_Length,408,no,no,None,100->200,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
OR,Middle_Length,415,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,True.
IL,Middle_Length,510,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
DC,Short,415,no,no,None,100->200,50->100,200->300,50->100,100->200,100->150,0->100,5->10,0->5,True.
GA,Middle_Length,415,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
ID,Short,415,no,no,None,200->300,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
UT,Middle_Length,408,no,yes,Middle(13->23),100->200,100->150,100->200,50->100,100->200,50->100,0->100,0->5,0->5,False.
KY,Long,510,no,no,None,200->300,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
OH,Short,415,no,no,None,100->200,50->100,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
WI,Middle_Length,415,yes,no,None,200->300,50->100,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
IL,Short,415,no,no,None,100->200,50->100,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
DE,Long,510,no,no,None,100->200,100->150,100->200,100->150,100->200,50->100,0->100,5->10,0->5,True.
RI,Long,510,yes,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
TX,Long,415,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,0->5,0->5,False.
OR,Short,408,no,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
NV,Short,415,no,no,None,0->100,50->100,100->200,50->100,100->200,50->100,0->100,5->10,0->5,False.
NE,Middle_Length,415,no,no,None,200->300,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
MS,Long,415,no,no,None,200->300,100->150,100->200,50->100,100->200,100->150,0->100,5->10,0->5,False.
OR,Short,415,no,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
DE,Middle_Length,415,no,no,None,200->300,0->50,200->300,100->150,200->300,50->100,0->100,0->5,0->5,True.
DE,Long,510,yes,no,None,100->200,50->100,100->200,100->150,200->300,100->150,0->100,0->5,0->5,True.
AZ,Long,408,no,no,None,200->300,50->100,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
SD,Long,408,no,yes,Middle(13->23),100->200,50->100,100->200,50->100,200->300,50->100,0->100,5->10,0->5,False.
NV,Long,415,no,no,None,100->200,50->100,300->400,50->100,200->300,100->150,0->100,5->10,0->5,False.
NM,Long,415,no,yes,Middle(13->23),200->300,100->150,200->300,100->150,100->200,100->150,0->100,10->15,0->5,False.
MN,Short,510,no,no,None,200->300,100->150,100->200,50->100,0->100,100->150,0->100,0->5,0->5,False.
NJ,Middle_Length,415,no,no,None,200->300,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
IN,Middle_Length,415,no,yes,Large(23->51),200->300,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
DC,Middle_Length,415,no,yes,Middle(13->23),200->300,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
MA,Long,510,yes,no,None,100->200,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
ME,Long,415,no,no,None,100->200,100->150,100->200,100->150,100->200,50->100,0->100,5->10,0->5,False.
NH,Short,415,no,yes,Middle(13->23),100->200,50->100,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
AZ,Long,408,no,no,None,100->200,50->100,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
OR,Short,510,no,no,None,100->200,50->100,200->300,50->100,200->300,150->200,0->100,5->10,0->5,False.
KS,Short,510,no,no,None,200->300,100->150,200->300,50->100,100->200,100->150,0->100,0->5,0->5,True.
NE,Long,415,no,no,None,100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
MI,Middle_Length,510,no,no,None,200->300,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
SC,Short,415,no,no,None,100->200,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
PA,Short,408,no,yes,Middle(13->23),200->300,100->150,200->300,100->150,200->300,0->50,0->100,0->5,0->5,False.
MT,Short,510,no,yes,Middle(13->23),200->300,50->100,100->200,50->100,100->200,100->150,0->100,0->5,0->5,False.
NM,Long,415,no,no,None,100->200,100->150,300->400,50->100,200->300,100->150,0->100,0->5,0->5,False.
OH,Middle_Length,510,no,no,None,200->300,50->100,100->200,50->100,200->300,100->150,0->100,0->5,0->5,True.
WY,Middle_Length,510,no,no,None,100->200,50->100,300->400,100->150,100->200,100->150,0->100,0->5,0->5,False.
MI,Short,415,no,no,None,100->200,50->100,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
AR,Long,510,no,yes,Middle(13->23),200->300,100->150,100->200,50->100,200->300,100->150,0->100,5->10,0->5,False.
FL,Middle_Length,408,no,no,None,100->200,50->100,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
AR,Short,510,no,yes,Middle(13->23),100->200,100->150,200->300,50->100,100->200,100->150,0->100,0->5,0->5,False.
MO,Long,510,no,no,None,200->300,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
WI,Middle_Length,408,yes,no,None,100->200,100->150,100->200,100->150,300->400,100->150,0->100,5->10,0->5,False.
TX,Short,510,no,no,None,0->100,100->150,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
TX,Middle_Length,510,no,no,None,100->200,100->150,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
NM,Short,510,no,no,None,200->300,100->150,100->200,100->150,100->200,100->150,0->100,5->10,0->5,False.
GA,Short,415,no,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
ID,Short,510,no,yes,Middle(13->23),200->300,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
AL,Middle_Length,408,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
KS,Middle_Length,408,no,yes,Middle(13->23),200->300,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
SD,Middle_Length,510,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
LA,Long,415,no,yes,Middle(13->23),100->200,50->100,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
OH,Middle_Length,408,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,True.
MA,Middle_Length,415,no,no,None,200->300,100->150,200->300,100->150,100->200,100->150,0->100,0->5,0->5,True.
AZ,Short,415,no,no,None,0->100,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
KY,Short,408,no,no,None,100->200,50->100,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
DC,Short,415,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,100->200,50->100,0->100,0->5,0->5,False.
WA,Middle_Length,415,no,no,None,100->200,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
UT,Middle_Length,415,no,no,None,200->300,100->150,200->300,100->150,100->200,50->100,0->100,5->10,0->5,False.
RI,Long,408,no,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,5->10,0->5,False.
OH,Long,415,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
NV,Middle_Length,408,no,no,None,100->200,50->100,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
ND,Middle_Length,415,no,yes,Middle(13->23),100->200,50->100,200->300,50->100,200->300,100->150,0->100,5->10,0->5,False.
NV,Short,415,yes,no,None,100->200,100->150,100->200,50->100,100->200,100->150,0->100,0->5,0->5,True.
FL,Long,510,no,yes,Middle(13->23),200->300,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,True.
MD,Middle_Length,415,no,no,None,100->200,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
AZ,Middle_Length,415,no,yes,Middle(13->23),0->100,150->200,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
AL,Short,510,no,yes,Middle(13->23),100->200,50->100,200->300,100->150,100->200,100->150,0->100,5->10,0->5,False.
NE,Short,415,no,no,None,200->300,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
NV,Short,408,no,no,None,0->100,100->150,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
IL,Long,408,no,no,None,0->100,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
WV,Short,510,no,yes,Middle(13->23),0->100,50->100,300->400,50->100,100->200,100->150,0->100,0->5,0->5,True.
MI,Long,415,no,yes,Middle(13->23),200->300,100->150,200->300,100->150,100->200,100->150,0->100,10->15,0->5,False.
AR,Short,510,no,no,None,100->200,100->150,100->200,0->50,200->300,50->100,0->100,5->10,0->5,False.
UT,Short,510,no,no,None,200->300,100->150,100->200,100->150,200->300,100->150,0->100,5->10,0->5,False.
GA,Long,510,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,200->300,100->150,0->100,0->5,0->5,False.
AZ,Long,408,no,no,None,100->200,100->150,100->200,50->100,200->300,100->150,0->100,0->5,0->5,False.
ID,Middle_Length,408,no,no,None,100->200,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
HI,Long,408,no,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,5->10,0->5,False.
NV,Long,408,no,no,None,100->200,100->150,100->200,100->150,200->300,50->100,0->100,0->5,0->5,False.
MD,Short,415,no,no,None,100->200,100->150,100->200,50->100,200->300,50->100,0->100,0->5,0->5,False.
GA,Long,510,no,no,None,100->200,50->100,200->300,100->150,200->300,50->100,0->100,10->15,0->5,False.
GA,Middle_Length,510,no,no,None,200->300,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,False.
UT,Short,415,no,yes,Middle(13->23),100->200,100->150,100->200,100->150,100->200,50->100,0->100,0->5,0->5,False.
MA,Middle_Length,510,yes,no,None,200->300,100->150,200->300,100->150,100->200,100->150,0->100,0->5,0->5,False.
IN,Short,415,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,0->5,0->5,False.
VT,Long,510,no,no,None,200->300,100->150,200->300,50->100,200->300,100->150,0->100,0->5,0->5,False.
IA,Long,415,no,no,None,100->200,100->150,200->300,50->100,100->200,50->100,0->100,0->5,0->5,False.
IN,Short,415,no,no,None,200->300,100->150,200->300,100->150,200->300,100->150,0->100,5->10,0->5,False.
AL,Short,415,yes,no,None,100->200,50->100,200->300,100->150,200->300,100->150,0->100,5->10,0->5,True.
ME,Middle_Length,415,yes,no,None,100->200,100->150,200->300,100->150,200->300,50->100,0->100,0->5,0->5,True.
